ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
"CHILL-LEM13-3A-1U, 111-112 cm",U3,D4,155,,,,0.46421,3.4979,0.081817,3.416083,21.7242942173,,,2.3900303665,-26.2966110454,,,,,,,,,
"CHILL-LEM13-3A-1U, 112-113 cm",U3,D4,156,27.4025,1.334,0.8074,0.47923,3.6077,0.068067,3.539633,22.741760742,,,,,,,,,,,,,
CHILL-LEM13-3A-1U 113-114 cm ,U3,D4,157,,,,0.4008,3.499,0.048453,3.450547,22.2993265847,0.411,9.7947400649,,,0,Present,Present,0,0,Present,1.136,1.637,32.43
"CHILL-LEM13-3A-1U, 114-115 cm",U3,D4,158,26.0803,1.3359,0.8062,0.84547,3.674,0.10597,3.56803,24.2470629595,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 115-116 cm",U3,D4,159,,,,0.84953,3.6065,0.034981,3.571519,22.7101428218,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 116-117 cm",U3,D4,160,25.1742,1.3613,0.7906,0.76245,3.3042,0.13181,3.17239,23.4510990543,,,2.0411083196,-25.4731180898,,,,,,,,,
"CHILL-LEM13-3A-1U, 117-118 cm",U3,D4,161,,,,0.8072,3.3872,0.059836,3.327364,23.133607562,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 118-119 cm",U3,D4,162,24.4341,1.3792,0.7796,0.48284,3.0354,0.023376,3.012024,23.033897786,0.406,8.6552413793,,,0,0,Present,0,0,0.256,0.686,0.892,32.12
"CHILL-LEM13-3A-1U, 119-120 cm",U3,D4,163,,,,0.77034,3.1814,0,3.1814,21.3345090704,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 120-121 cm",U3,D4,164,25.0593,1.3448,0.8007,0.99243,3.5163,0.022808,3.493492,20.8076079208,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 121-122 cm",U3,D3,165,,,,0.77809,3.8955,0,3.8955,21.0274684701,,,2.0076217454,-26.0176195408,,,,,,,,,
"CHILL-LEM13-3A-1U, 122-123 cm",U3,D4,166,24.5209,1.3743,0.7826,0.4997,3.0113,0.034808,2.976492,20.8994906513,0.392,8.8586071429,,,0,0.161,0.061,Present,0,0.049,0.731,1.628,33.6
CHILL-LEM13-3A-1U 123-124 cm ,U3,D5,167,,,,0.97585,4.5932,0.041498,4.551702,20.6737558318,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 124-125 cm",U3,D4,168,25.4584,1.3462,0.7999,0.45519,3.7644,0.11255,3.65185,17.7099277623,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 125-126 cm",U3,D4,169,,,,0.38819,3.2576,0.041486,3.216114,19.8876368196,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 126-127 cm",U3,D4,170,26.5526,1.3552,0.7944,0.32622,3.3834,0.10801,3.27539,20.7242943456,,,1.866931807,-23.1978888971,,,,,,,,,
"CHILL-LEM13-3A-1U, 127-128 cm",U3,D4,171,,,,0.29929,3.1091,0,3.1091,21.3711800125,0.273,13.2867521368,,,0,Present,0,0,0,Present,0.384,1.027,25.07
"CHILL-LEM13-3A-1U, 128-129 cm",U3,D4,172,29.2673,1.3661,0.7877,0.36641,3.3008,0.077237,3.223563,21.519292592,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 129-130 cm",U3,D5,173,,,,1.7318,4.2214,0.031223,4.190177,21.2972936487,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 130-131 cm",U3,D5,174,34.2374,1.3843,0.7765,0.92082,3.5607,0.030919,3.529781,21.1538538316,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 131-132 cm",U3,D4,175,,,,0.32237,3.1648,0.11951,3.04529,20.1618000469,,,1.7128787452,-22.5300942547,,,,,,,,,
"CHILL-LEM13-3A-1U, 132-133 cm",U3,D4,176,42.9882,1.3538,0.7952,0.59237,3.0332,0.05804,2.97516,17.3431858281,0.49981,6.944678978,,,Present,4.997,0.334,Present,0.087,0.649,6.242,7.189,36.38
CHILL-LEM13-2C-3U 32-33 cm,U3,L2,177,221.0289,1.8863,0.4685,0.44465,0.51744,0,0.51744,7.2291163378,0.32777,1.8417792965,,,0,0.955,Present,0.153,Present,0.141,0.583,12.88,31.16
CHILL-LEM13-2C-3U 33-34 cm,U3,L2,178,,,,0.3081,0.016568,0.13894,-0.122372,7.2887295542,,,,,,,,,,,,,
CHILL-LEM13-2C-3U 34-35 cm,U3,L2,179,268.6604,1.5943,0.6477,0.22631,-0.022039,0.047146,-0.069185,6.6471142116,,,,,,,,,,,,,
