ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
"CHILL-LEM13-3A-3U, 53-54 cm",U5,D6_b,386,,,,1.4089,3.7485,0.07337,3.67513,20.7265528511,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 54-55 cm",U5,D6_b,387,201.7292,1.3873,0.7747,1.3104,3.5032,0.16443,3.33877,20.1439413685,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 55-56 cm",U5,D6_a,388,,,,1.3493,2.9026,0.20944,2.69316,20.2137146856,,,2.1381394005,-26.6119444962,,,,,,,,,
"CHILL-LEM13-3A-3U, 56-57 cm",U5,D6_a,389,189.3121,1.442,0.7411,1.2855,3.1336,0.19899,2.93461,20.000077374,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 57-58 cm",U5,D6_c,390,,,,1.4558,3.9073,0.083638,3.823662,17.5994356,0.29,15.3825482759,,,Present,0.176,Present,0,0,0.165,2.389,4.483,44.34
"CHILL-LEM13-3A-3U, 58-59 cm",U5,D6_c,391,178.7141,1.4476,0.7377,1.7594,4.0983,0.072519,4.025781,16.6451646676,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 59-60 cm",U5,D6_c,392,,,,1.4234,4.1573,0.1042,4.0531,16.4418835474,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 60-61 cm",U5,D6_c,393,172.0159,1.4575,0.7316,1.5762,4.8246,0.1857,4.6389,15.3802453264,,,0.6901331968,-23.5945641935,,,,,,,,,
"CHILL-LEM13-3A-3U, 61-62 cm",U5,D6_c,394,,,,1.9699,4.9991,0.1293,4.8698,18.3783190412,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 62-63 cm",U5,D6_c,395,185.9902,1.3972,0.7686,1.8355,5.1911,0.18158,5.00952,19.8687730556,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 63-64 cm",U5,D6_a,396,,,,1.3799,3.9816,0.065971,3.915629,15.9763127673,0.317,14.4108322818,,,Present,0.908,0,0,0.153,0.658,3.982,9.237,44.73
"CHILL-LEM13-3A-3U, 64-65 cm",U5,D6_a,397,200.7608,1.4139,0.7583,2.2647,4.5372,0,4.5372,20.7156606511,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 65-66 cm",U5,T14,398,,,,1.3813,1.8635,0,1.8635,13.8080947859,,,2.1513007573,-27.1523508381,,,,,,,,,
"CHILL-LEM13-3A-3U, 66-67 cm",U5,D6_a,399,221.0823,1.408,0.762,1.7484,4.2367,0.025676,4.211024,19.0604501469,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 67-68 cm",U5,D6_a,400,,,,1.5269,4.7562,0.056051,4.700149,21.4631587462,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 68-69 cm",U5,D6_b,401,236.6553,1.3901,0.773,1.9892,4.0825,0.010391,4.072109,20.7906475397,,,,,0,0,Present,Present,Present,0.224,1.369,3.231,39.7
"CHILL-LEM13-3A-3U, 69-70 cm",U5,D6_b,402,,,,1.8744,3.2083,0.036014,3.172286,20.6173577232,0.409,9.0489005705,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 70-71 cm",U5,T15,403,192.0976,1.7481,0.5533,2.0246,2.1954,0.092353,2.103047,16.1151265558,,,2.0733553872,-16.9725627261,,,,,,,,,
"CHILL-LEM13-3A-3U, 71-72 cm",U5,D6_b,404,,,,0.98198,4.5191,0.23324,4.28586,20.4782661846,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 72-73 cm",U5,D6_b,405,234.4286,1.4154,0.7574,1.1377,4.711,0.097268,4.613732,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 73-74 cm",U5,T16,406,,,,0.5593,2.0784,0.12342,1.95498,16.3401290351,0.16,14.2550625,,,0,0.483,0,0,Present,0.186,0.457,5.536,54.95
"CHILL-LEM13-3A-3U, 74-75 cm",U5,D6_b,407,218.7693,1.4514,0.7354,1.0449,4.0732,0,4.0732,19.6777214535,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 75-76 cm",U5,D6_c,408,,,,1.8209,4.0611,0.10262,3.95848,18.3123101104,,,0.7751664224,-23.2894611653,,,,,,,,,
"CHILL-LEM13-3A-3U, 76-77 cm",U5,D6_c,409,198.468,1.4962,0.7079,2.4882,5.2535,0.97574,4.27776,18.0430114323,0.297,16.8037710438,,,0,0.304,Present,0,0,Present,1.427,3.657,29.11
"CHILL-LEM13-3A-3U, 77-78 cm",U5,D6_b,410,,,,0.9265,4.3477,0.14708,4.20062,21.2965272891,0.372,13.1739874552,,,0,0.619,Present,Present,Present,Present,2.544,3.294,44.42
"CHILL-LEM13-3A-3U, 78-79 cm",U5,D6_c,411,193.9881,1.4159,0.7571,2.5287,5.0705,0.088984,4.981516,17.9381641897,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 79-80 cm",U5,D6_c,412,,,,6.8222,5.5943,0.93773,4.65657,19.1728648076,0.34,15.9784264706,,,0,0,Present,0,0,0.256,1.229,3.467,42.66
"CHILL-LEM13-3A-3U, 80-81 cm",U5,D6_b,413,173.4856,1.422,0.7534,0.5002,4.2837,1.0693,3.2144,17.3745926452,0.249,15.0607764391,2.4329174322,-26.3451243708,Present,0,Present,0,0,0,0.313,2.066,33.25
"CHILL-LEM13-3A-3U, 81-82 cm",U5,T17,414,,,,2.6137,2.801,0.13371,2.66729,17.4302756212,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 82-83 cm",U5,D6_b,415,147.0368,1.4448,0.7394,1.1107,3.1734,0.090694,3.082706,19.0956109698,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 83-84 cm",U5,D6_b,416,,,,1.8243,3.3821,0.45334,2.92876,18.3167062876,,,1.5519376194,-21.8241879392,,,,,,,,,
"CHILL-LEM13-3A-3U, 84-84.5 cm",U5,L5,417,108.2732,1.6457,0.6161,0.6619,1.745,0.07127,1.67373,17.3833165281,0.121,16.137892562,,,0,Present,Present,0,Present,0.307,1.271,3.629,57.83
"CHILL-LEM13-3A-3U, 85-86 cm",U5,L5,418,,,,0.64261,1.1539,0,1.1539,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 86-87 cm",U5,L5,419,84.812,1.7845,0.531,0.15751,0.70933,0,0.70933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 87-88 cm",U5,L5,420,,,,0.15751,0.70933,0,0.70933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 88-89 cm",U5,L5,421,79.4423,1.7469,0.554,0.15751,0.70933,0,0.70933,,,,0.5827782415,-22.5962954207,,,,,,,,,
"CHILL-LEM13-3A-3U, 89-90 cm",U5,L5,422,,,,0.15751,0.70933,0,0.70933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 90-91 cm",U5,L5,423,80.6059,1.7571,0.5478,0.15751,0.70933,0,0.70933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 91-92 cm",U5,L5,424,,,,0.15751,0.70933,0,0.70933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 92-93 cm",U5,L5,425,95.6794,1.6712,0.6005,0.05751,0.10933,0,0.10933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 93-94 cm",U5,L5,426,,,,0.15751,0.70933,0,0.70933,,,,,,0,0.264,0,0,0,0.344,2.544,4.128,39.41
"CHILL-LEM13-3E-3U-2, 28-29cm",U5,D6_b,427,132.4168,1.4224,0.7531,1.6254,3.3474,0,3.3474,17.8551462484,0.47122,8.2876363482,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 29-30cm",U5,D6_b,428,144.8348,1.4029,0.7651,0.90531,2.8664,0.22123,2.64517,17.7869968352,,,2.2805831014,-26.8102659367,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 30-31cm",U5,D6_b,429,144.9144,1.4809,0.7172,1.0132,2.4075,0.13272,2.27478,16.3928176218,,,,,0,Present,0,0,0,0.202,0.9,3.92,43.85
"CHILL-LEM13-3E-3U-2, 31-32cm",U5,D6_b,430,146.5659,1.511,0.6988,0.58808,1.5116,0,1.5116,14.0509496155,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 32-33cm",U5,D6_b,431,145.6706,1.5163,0.6955,1.0947,1.948,0.18549,1.76251,12.6183234712,0.17664,11.6409741093,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 33-34cm",U5,D6_b,432,141.4549,1.5171,0.695,1.1317,1.8748,0,1.8748,11.9504418073,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 34-35cm",U5,D6_b,433,131.5596,1.5445,0.6782,0.59543,1.3747,0,1.3747,12.4874086417,,,,,0,0.382,Present,0,,0.23,2.18,5.084,50.38
"CHILL-LEM13-3E-3U-2, 35-36cm",U5,T18,434,120.8689,1.5487,0.6756,0.94109,1.28,0.28566,0.99434,13.8267771019,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 36-37cm",U5,D6_a,435,114.0111,1.4866,0.7137,0.64868,0.788,0,0.788,13.4818270821,0.13871,6.6277365246,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 37-38cm",U5,D6_a,436,101.8784,1.49,0.7116,0.95429,1.2044,0.10711,1.09729,17.2642724874,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 38-39cm",U5,D6_a,437,89.0649,1.525,0.6902,1.009,1.2747,0.26293,1.01177,16.9493744822,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 39-40cm",U5,D6_a,438,82.5848,1.4788,0.7185,1.061,1.5528,0,1.5528,,0.25112,7.2140809175,0.0908093039,-22.7594226306,,,,,,,,,
"CHILL-LEM13-3A-3U, 105-106 cm",U6,LT2,439,76.4939,1.4697,0.7241,1.159,2.6386,0,2.6386,16.6664151533,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 106-107 cm",U6,LT2,440,70.7674,1.4757,0.7204,1.166,3.322,0.016732,3.305268,16.4639740355,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 107-108 cm",U6,LT2,441,66.6365,1.4815,0.7169,1.0709,3.0729,0,3.0729,16.120818173,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 108-109 cm",U6,LT2,442,63.8715,1.4831,0.7159,1.1224,3.1715,0,3.1715,16.3580388818,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 109-110 cm",U6,LT2,443,61.5559,1.4926,0.71,1.1317,2.9726,0.027182,2.945418,16.7579072934,0.179,19.1973240223,0.5635716024,-22.9186367355,0,0.242,Present,0,0.173,0.27,1.199,7.567,28.47
"CHILL-LEM13-3A-3U, 110-111 cm",U6,LT2,444,60.6444,1.487,0.7135,1.1333,2.8445,0,2.8445,14.9800775342,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 111-112 cm",U6,LT2,445,60.3622,1.4655,0.7267,1.1738,2.9063,0.0060859,2.9002141,15.7425679625,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 112-113 cm",U6,LT2,446,58.6748,1.4873,0.7133,1.1352,2.9293,0,2.9293,14.9213599829,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 113-114 cm",U6,LT2,447,58.5787,1.4893,0.7121,1.113,2.8689,0.010538,2.858362,15.3183170833,,,0.4144511355,-22.7764934058,,,,,,,,,
"CHILL-LEM13-3A-3U, 114-115 cm",U6,LT2,448,58.2971,1.4868,0.7136,1.1516,2.8855,0,2.8855,15.6347144872,0.181,18.5989871087,,,0,0.172,0.081,0.153,0.226,0.428,1.616,8.067,41.73
"CHILL-LEM13-3A-3U, 115-116 cm",U6,LT2,449,58.1742,1.4905,0.7113,1.1401,2.8532,0.0089605,2.8442395,15.4339061724,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 116-117 cm",U6,LT2,450,57.5756,1.4967,0.7076,1.1246,2.9033,0.070585,2.832715,15.4773775433,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 117-118 cm",U6,LT2,451,57.4348,1.4906,0.7113,1.1498,2.9319,0,2.9319,15.1945769491,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 118-119 cm",U6,LT2,452,57.712,1.4838,0.7155,1.1447,2.9454,0.0035844,2.9418156,16.0849963922,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 119-120 cm",U6,LT2,453,58.2016,1.4615,0.7292,1.1321,2.8796,0,2.8796,15.3664896489,0.176,19.0882575758,0.1174730748,-22.6532374535,Present,0.299,Present,0,Present,0.362,2.041,7.487,36.5
"CHILL-LEM13-3A-3U, 120-121 cm",U6,LT2,454,57.7615,1.4727,0.7223,1.1286,2.9048,0.0063003,2.8984997,15.8121907641,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 121-122 cm",U6,LT2,455,57.8084,1.4715,0.723,1.1014,2.8817,0,2.8817,15.8208061615,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 122-123 cm",U6,LT2,456,57.5458,1.4881,0.7128,1.1032,2.8368,0.015687,2.821113,15.7347926266,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 123-124 cm",U6,LT2,457,57.1889,1.5074,0.701,1.0901,2.9003,0.042992,2.857308,15.765150742,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 124-125 cm",U6,LT2,458,57.0564,1.5109,0.6988,1.0963,2.8788,0.052318,2.826482,15.0902449236,0.178,18.5256310861,0.2042298286,-22.7146175866,0,0.119,Present,0,0.17,0.258,1.074,10.23,26.3
"CHILL-LEM13-3A-3U, 125-126 cm",U6,LT2,459,57.2878,1.5149,0.6964,1.1218,2.9089,0.057804,2.851096,15.2617017616,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 126-127 cm",U6,LT2,460,57.8526,1.5099,0.6994,1.1574,2.9596,0.050796,2.908804,14.9185228629,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 127-128 cm",U6,LT2,461,57.8989,1.5087,0.7002,1.225,2.9761,0.11328,2.86282,13.8693335249,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 128-129 cm",U6,LT2,462,58.3732,1.4966,0.7076,1.202,3.0758,0.15544,2.92036,15.4380378039,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 129-130 cm",U6,LT2,463,58.0238,1.5057,0.7021,1.225,2.9619,0.075919,2.885981,15.1952059941,0.188,17.9094565603,0.36703112,-22.3632365179,0,Present,Present,0,Present,0.132,1.182,14.26,27.4
"CHILL-LEM13-3A-3U, 130-131 cm",U6,LT2,464,58.1982,1.5012,0.7048,1.2451,3.0487,0.085208,2.963492,15.2231877411,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 131-132 cm",U6,LT2,465,57.5814,1.5074,0.701,1.2008,2.9968,0.076071,2.920729,15.0584272811,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 132-133 cm",U6,LT2,466,57.2284,1.5067,0.7014,1.2305,3.3097,0.051166,3.258534,15.1333024703,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 133-134 cm",U6,LT2,467,57.807,1.5015,0.7046,1.2283,3.0486,0.074232,2.974368,14.7363316711,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 134-135 cm",U6,LT2,468,57.7064,1.5041,0.703,1.25,2.9954,0.067152,2.928248,14.2399504332,0.182,18.7708205128,0.2255927245,-22.5919826327,0,Present,Present,Present,Present,0.41,2.103,8.399,32.57
"CHILL-LEM13-3A-3U, 135-136 cm",U6,LT2,469,58.2341,1.5003,0.7053,1.2064,3.0164,0.17185,2.84455,15.2700209198,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 136-137 cm",U6,LT2,470,58.4692,1.4943,0.709,1.2427,3.0435,0.087492,2.956008,15.7056172369,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 137-138 cm",U6,LT2,471,58.1795,1.5017,0.7045,1.2069,2.947,0.0016139,2.9453861,14.9217646036,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 138-139 cm",U6,LT2,472,58.0705,1.5044,0.7028,1.2084,2.9327,0.052581,2.880119,15.5041381052,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 139-140 cm",U6,LT2,473,59.5131,1.4776,0.7193,1.1884,2.9401,0.019373,2.920727,15.2890209847,0.18,18.930637963,0.1755650927,-22.6491364663,0,0.084,Present,0.097,0.235,0.326,2.662,8.6,34.65
"CHILL-LEM13-3A-3U, 140-141 cm",U6,LT2,474,58.8655,1.5035,0.7034,1.2191,2.9613,0.0839,2.8774,14.983909646,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 141-142 cm",U6,LT2,475,59.1991,1.4949,0.7086,1.2297,3.0461,0.057409,2.988691,15.5298190698,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 142-143 cm",U6,LT2,476,60.9451,1.4707,0.7235,1.3645,3.0675,0.080471,2.987029,16.3168380981,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 143-144 cm",U6,LT2,477,61.037,1.4966,0.7076,1.3335,3.2333,0.087695,3.145605,16.1325881607,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 144-145 cm",U6,LT2,478,62.7119,1.4929,0.7098,1.3438,3.2455,0.033597,3.211903,17.0466296168,0.219,17.1105943683,0.0767194008,-22.7582472302,0,0.492,Present,Present,Present,0.272,1.913,8.708,42.41
"CHILL-LEM13-3A-3U, 145-146 cm",U6,LT2,479,63.3411,1.505,0.7024,1.3037,3.0681,0,3.0681,16.0256465051,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 146-147 cm",U6,LT2,480,65.79,1.4924,0.7102,1.2806,3.1159,0.02853,3.08737,16.341437112,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 147-148 cm",U6,LT2,481,67.615,1.4943,0.709,1.2897,3.0926,0.022299,3.070301,16.482474878,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 148-149 cm",U6,LT2,482,70.6691,1.4782,0.7189,1.2804,3.0344,0.0045898,3.0298102,16.3854415362,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 149-150 cm",U6,LT2,483,71.5512,1.5158,0.6958,1.2177,2.9212,0.03033,2.89087,15.761060521,0.177,19.0546986817,0.7149923774,-22.5946104531,0,0,Present,0.118,0,0.248,2.473,8.854,43.21
"CHILL-LEM13-3A-3U, 150-151 cm",U6,LT2,484,73.5813,1.5202,0.6932,1.2154,2.9321,0,2.9321,15.506446399,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 151-152 cm",U6,LT2,485,75.7417,1.5289,0.6878,1.2059,2.9954,0,2.9954,13.3232486087,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 152-153 cm",U6,LT2,486,78.0989,1.5185,0.6942,1.1925,2.9525,0.053991,2.898509,13.3971480093,0.199,16.9929338358,,,0,Present,o,Present,0,0.194,0.937,10.97,45.87
"CHILL-LEM13-3E-3U-2, 87-88cm",U6,LT2,487,80.1762,1.528,0.6884,1.1938,2.2883,0.062777,2.225523,13.1537794704,0.427,6.0806639344,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 88-89cm",U6,LT2,488,81.1624,1.5291,0.6877,1.1779,2.2332,0,2.2332,13.519019103,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 89-90cm",U6,LT2,489,81.5988,1.5406,0.6806,1.1237,2.1987,0.045572,2.153128,12.9207797165,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 90-91cm",U6,LT2,490,83.6392,1.5145,0.6967,1.0921,2.2426,0,2.2426,13.1660977901,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 91-92cm",U6,LT2,491,82.0147,1.5429,0.6792,1.0704,2.0492,0.18649,1.86271,12.7894621405,0.23024,9.4386799282,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 92-93cm",U6,LT2,492,84.019,1.4916,0.7107,1.0692,2.1825,0,2.1825,12.3659330311,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 93-94cm",U6,LT2,493,82.7167,1.4939,0.7093,1.0495,2.1478,0,2.1478,13.2331545222,,,0.1516557134,-22.0171773007,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 94-95cm",U6,LT2,494,77.0688,1.5524,0.6734,1.1152,2.331,0.54634,1.78466,12.9453597113,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 95-96cm",U6,LT2,495,74.3641,1.5326,0.6855,1.2561,2.4656,0,2.4656,12.8378325162,0.25022,11.4960168385,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 96-97cm",U6,LT2,496,68.5484,1.5448,0.6781,0.78429,1.5218,0,1.5218,11.1710776105,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 97-98cm",U6,LT2,497,,,,1.0324,2.0377,0,2.0377,11.6292550656,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 98-99cm",U6,LT2,498,62.2978,1.5413,0.6802,1.1379,2.4567,0.12563,2.33107,12.5301412285,,,0.7637859939,-22.501161865,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 99-100cm",U6,LT2,499,,,,1.0266,2.328,0,2.328,10.493965645,,,,,,,,,,,,,
"CHILL-LEM13-3E-3U-2, 100-101cm",U6,LT2,500,53.741,1.5513,0.674,0.81701,2.2401,0,2.2401,11.1564886866,0.23956,10.9093755218,,,,,,,,,,,
